op_id_full,anio,mode,categoria_canon,amount_usd,real_usd,pred_usd,error_usd,error_pct
25107HPER,2025,SEA,AGROQUIMICOS,17700.0,6358.6,6109.3,-249.3,3.9
25117HPER,2025,SEA,EMPAQUE,174847.75,13444.0,13913.3,469.3,3.5
25067HPER,2025,SEA,EMPAQUE,54702.47,12619.8,13021.5,401.7,3.2
25035HPER,2025,SEA,AGROQUIMICOS,101952.0,5779.2,5604.9,-174.3,3.0
25134HPER,2025,AIR,REPUESTOS,907.5300000000001,261.3,253.5,-7.8,3.0
25073HPER,2025,SEA,EMPAQUE,59757.48,12223.7,12586.2,362.5,3.0
25038HPER,2025,SEA,AGROQUIMICOS,17700.0,6523.3,6335.2,-188.0,2.9
25143HPER,2025,AIR,PLANTAS,1230.0,1864.3,1810.8,-53.5,2.9
25061HPER,2025,SEA,EMPAQUE,41805.240000000005,12147.7,12477.6,329.9,2.7
25016HPER,2025,SEA,AGROQUIMICOS,101952.0,5501.8,5352.5,-149.3,2.7
25013HPER,2025,SEA,AGROQUIMICOS,121209.6,5565.5,5700.4,135.0,2.4
25021HPER,2025,SEA,AGROQUIMICOS,178416.0,5417.8,5536.9,119.2,2.2
25065HPER,2025,SEA,EMPAQUE,32969.16,9620.5,9822.6,202.1,2.1
25063HPER,2025,AIR,REPUESTOS,14959.95,1573.2,1544.7,-28.5,1.8
25055HPER,2025,SEA,EMPAQUE,44529.12,12574.4,12785.6,211.2,1.7
25088HPER,2025,AIR,REPUESTOS,3616.57,1011.8,1026.6,14.8,1.5
25070HPER,2025,SEA,EMPAQUE,49453.740000000005,12535.8,12383.9,-151.9,1.2
25173HPER,2025,AIR,REPUESTOS,3705.2,1020.6,1029.4,8.8,0.9
25189HPER,2025,SEA,AGROQUIMICOS,35400.0,7364.8,7410.0,45.2,0.6
25034HPER,2025,SEA,AGROQUIMICOS,17700.0,6298.3,6321.2,22.9,0.4
25114HPER,2025,AIR,REPUESTOS,8620.46,1252.8,1249.5,-3.3,0.3
25005HPER,2025,AIR,EMPAQUE,0.0,31.0,126.7,95.7,
25017HPER,2025,AIR,EMPAQUE,20.0,31.0,17.7,-13.3,
25019HPER,2025,AIR,EQUIPOS_INSTR,87.74,31.0,105.9,74.9,
25022HPER,2025,AIR,EMPAQUE,250.0,23.6,26.2,2.6,
25023HPER,2025,AIR,EMPAQUE,100.0,0.0,30.8,30.8,
25024HPER,2025,AIR,EMPAQUE,200.0,0.0,31.0,31.0,
25041HPER,2025,AIR,EMPAQUE,6.8,0.0,24.6,24.6,
25106HPER,2025,AIR,MAQUINARIA,100.0,0.0,11.2,11.2,
25142HPER,2025,AIR,EMPAQUE,6.0,0.0,7.2,7.2,
