,ESTADO,REF,Importador,OC,BUYER,Proveedor,TIPO PROD,PRODUCTO,FT,CANT,UN,USD,EUR,Valor Final USD,Forma de Pago ,INCOTERM,MODE,TYPE,POD,POL,CTNR TYPE,CTNR QTY,PQ,AGENTE DE CARGA,NAVIERA / AEROLINEA,B/L- AWB,NAVE,ETD,ETA,WEEK,SEGURO HPER,ASEGURADORA,POLIZA PROFORMA  NRO,Días Libres Sobrestadía,Dias libres Almacenaje,DIRECCIONAMIENTO,DEPOT,AG. ADUANA,Orden,Solicitud Proforma,Solicitud Pago,Pago Proforma,Fecha Numeración,DAM,Canal,Fecha Levante,Fecha de Retiro y Entrega Agersa,Lugar Entrega,Transporte,Fecha Entrega Trux,Envío de Provisión,Fecha Liquidación,Fecha Envío Archivo,Observaciones,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-119-HPER,HORTIFRUT-PERU SAC,4700001842,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTOLAN,20469,"2,800",KGS,$0.00,"€ 35,700.00","$35,700.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0654219,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1033,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-120-HTAL,HORTIFRUT-TAL SAC,4700001843,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,MUCIGEL,20468,"8,000",KGS,$0.00,"€ 72,000.00","$72,000.00",90 días,CIF,SEA,FCL/FCL,BARCELONA,CALLAO,40ST,2,,DIRECTO,CMA CGM,IBC0654218,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1034,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,"LIQUI PARCIAL 26/ENE, GASTO ADM IMUPESA USD 30 + IGV 22/MAR",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-120-HTAL,HORTIFRUT-TAL SAC,4700001843,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,PROMI FERTIL MIX,20468,"14,000",LTS,$0.00,"€ 71,400.00","$71,400.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,1.5,,DIRECTO,CMA CGM,IBC0654218,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1034,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,"LIQUI PARCIAL 26/ENE, GASTO ADM IMUPESA USD 30 + IGV 22/MAR",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-120-HTAL,HORTIFRUT-TAL SAC,4700001843,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTO FLOW AMIN,20468,"2,200",KGS,$0.00,"€ 24,112.00","$24,112.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0654218,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1034,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,"LIQUI PARCIAL 26/ENE, GASTO ADM IMUPESA USD 30 + IGV 22/MAR",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-120-HTAL,HORTIFRUT-TAL SAC,4700001843,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTOLAN,20468,"1,920",KGS,$0.00,"€ 24,480.00","$24,480.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0654218,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1034,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,"LIQUI PARCIAL 26/ENE, GASTO ADM IMUPESA USD 30 + IGV 22/MAR",,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-121-HTAL,HORTIFRUT-TAL SAC,4500925186,JOSE RIVERA,UNITEC CHILE S.P.A,REPUESTOS DE MANTENIMIENTO,Port rodillo Unical 222 UNITEC,-,"2,000",UN,"$14,260.00",€ 0.00,"$14,260.00",160 DÍAS,EXW,AIR,AIR,GENOVA,LIMA,-,-,,DHL,DHL,3484577935,-,16/10/2020,19/10/2020,43,NO,-,,,,,,AVM,,,,,,,,,,,,,,11-nov,28-mar,-,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-122-BERR,BERRIES DE CHAO SAC,4700001844,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,MUCIGEL,20470,"1,000",KGS,$0.00,"€ 9,000.00","$9,000.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,1,,DIRECTO,CMA CGM,IBC0649073,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1035,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-122-BERR,BERRIES DE CHAO SAC,4700001844,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,PROMI FERTIL MIX,20470,"1,260",LTS,$0.00,"€ 6,426.00","$6,426.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0649073,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1035,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-122-BERR,BERRIES DE CHAO SAC,4700001844,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTO FLOW AMIN,20470,260,KGS,$0.00,"€ 2,849.60","$2,849.60",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0649073,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1035,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
,ARCHIVADA,20-122-BERR,BERRIES DE CHAO SAC,4700001844,OMAR QUISPE,PROMISOL SA,AGROQUIMICOS,CYTOLAN,20470,180,KGS,$0.00,"€ 2,295.00","$2,295.00",90 días,CIF,SEA,FCL/LCL,BARCELONA,CALLAO,20ST,-,,DIRECTO,CMA CGM,IBC0649073,CALLAO EXPRESS,31/10/2020,3/12/2020,49,NO,-,-,,30,,IMUPESA,AVM,1035,23-nov,2-nov,1-dic,,,,,,,,,,26-ene,28-mar,,,,,,,,,,,,,,,,,,,
