CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORIA,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD ,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST DATE,ASSIGMENT DATE,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),WEEK BASE LIMA,PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,CP OBSERVACIONES,OC2,,
2023-2024,ENTREGADO,23-020-HFEB,4700003052,FIORELLA,PROMISOL,AGQ,PROMI-FERTIL MIX,-,F-23365,"5,000.00",KG,EUR,"39,250.00","43,175.00",120,EXW,SEA,LCL/LCL,ESPAÑA,BARCELONA,CALLAO,,,5,,NA,28/9/2023,3/10/2023,FORBIS,,,CMAU7639301,10/10/2023,21/10/2023,42,12023100783,KRISTINA 0DVHDS1MA,19/11/2023,46,,,VILLAS OQUENDO,AVM,1103,15/11/2023,21/11/2023,118-2023-10-446672-01-8-00,19/11/2023,20/11/2023,,NA,NA,,,,,,,52,,,29/11/2023,48,,,,,NA,4700003052,,
2023-2024,LIQUIDADO,23-020-HPER,4700002770,GONZALO,SMARTPACK,SPAREPARTS,RPTOS VARIOS PARA MAQUINA HEAT SEALER,-,127,4.00,UN,USD,"3,856.00","3,856.00",0,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,0.33,,NA,,7/3/2023,AIRSEALOG,KOREAN,,-,15/3/2023,17/3/2023,11,PELIM23044B,,17/3/2023,11,SI,16/3/2023,ALFOSAC,LIP,4204,16/3/2023,16/3/2023,235-2023-10-036774-01-6-00,16/3/2023,17/3/2023,20/3/2023,NA,NA,NA,LIP,21/3/2023,T001-94,AGERSA,29/4/2023,17,PACKING CHAO,,4/4/2023,14,11/4/2023,4/4/2023,EG07-00000046,,NA,4700002770,,
2023-2024,LIQUIDADO,23-020-HPER,4700002795,MELANIE,SMARTPACK,SPAREPARTS,RPTOS VARIOS PARA MAQUINA HEAT SEALER,-,129,37.00,UN,USD,"9,973.00","9,973.00",0,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,0.33,,NA,,7/3/2023,AIRSEALOG,KOREAN,,-,15/3/2023,17/3/2023,11,PELIM23044B,,17/3/2023,11,SI,16/3/2023,ALFOSAC,LIP,4204,16/3/2023,16/3/2023,235-2023-10-036774-01-6-00,16/3/2023,17/3/2023,20/3/2023,NA,NA,,LIP,21/3/2023,T001-94,AGERSA,21/3/2023,12,PACKING CHAO,,4/4/2023,14,11/4/2023,4/4/2023,EG07-00000046,18,NA,4700002795,,
2023-2024,LIQUIDADO,23-020-HPER,4700002804,MELANIE,SMARTPACK,SPAREPARTS,RPTOS VARIOS PARA MAQUINA HEAT SEALER,-,128,72.00,UN,USD,"1,224.00","1,224.00",30,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,0.33,,NA,,7/3/2023,AIRSEALOG,KOREAN,,-,15/3/2023,17/3/2023,11,PELIM23044B,,17/3/2023,11,SI,16/3/2023,ALFOSAC,LIP,4204,16/3/2023,16/3/2023,235-2023-10-036774-01-6-00,16/3/2023,17/3/2023,20/3/2023,NA,NA,,LIP,21/3/2023,T001-94,AGERSA,22/3/2023,12,,,4/4/2023,14,21/4/2023,4/4/2023,EG07-00000046,,NA,4700002804,,
2023-2024,ENTREGADO,23-021-HFEB,4700003050,FIORELLA,QUALIBIO,E & E,PUNNET CELULOSA EC 2843 Base,-,A-0950,"415,000.00",UN,EUR,"46,153.80","50,769.18",0,EXW,SEA,FCL/FCL,PAISES BAJOS,ROTTERDAM,CALLAO,1,40 HC,660,,NA,11/10/2023,16/10/2023,AIRSEALOG,HAPAG,,HLBU2190202,20/10/2023,27/10/2023,43,SBNLES00175531,CMA CGM CARL ANTOINE,30/11/2023,48,NO,,,AVM,1132,22/11/2023,27/11/2023,118-2023-10-449196-01-2-00,1/12/2023,2/12/2023,30/11/2023,NA,NA,11/12/2023,AVM,5/12/2023,,NA,NA,#¡VALOR!,OLMOS,5/12/2023,7/12/2023,49,,,,,NA,4700003050,,
2023-2024,LIQUIDADO,23-021-HPER,4700002787-1,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00122,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,ONE,,TCLU6633323,,2/3/2023,9,ONEYCMBD02156500,SEASPAN RAPTOR,22/4/2023,16,NO,NA,IMUPESA,AVM,352,11/4/2023,18/4/2023,118-2023-10-139622-01-4-00,23/4/2023,24/4/2023,22/4/2023,25/4/2023,25/4/2023,,AVM,26/4/2023,T001-155,GUZMAN,26/4/2023,17,FUNDO ARMONIA,,3/5/2023,18,5/5/2023,2/5/2023,EG07-00000054,,"Carga completada.Quedó sin Agente de carga, booking,forma de pago 0 en cp 20%AP en excel[23-021-HPER // 4700002787-1 // TCLU6633323]",4700002787-1,,
2023-2024,LIQUIDADO,23-021-HPER,4700002787-1,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00122,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,ONE,,TCNU5944009,,2/3/2023,9,ONEYCMBD02156500,SEASPAN RAPTOR,22/4/2023,16,NO,NA,IMUPESA,AVM,352,11/4/2023,18/4/2023,118-2023-10-139622-01-4-00,23/4/2023,24/4/2023,22/4/2023,25/4/2023,25/4/2023,,AVM,26/4/2023,T001-157,GUZMAN,26/4/2023,17,FUNDO ARMONIA,,3/5/2023,18,5/5/2023,2/5/2023,EG07-00000053,,"Carga completada. Quedó sin Agente de carga, booking,forma de pago 0 en cp 20%AP en excel [23-021-HPER // 4700002787-1 // TCNU5944009]",4700002787-1,,
2023-2024,ENTREGADO,23-022-HFEB,4700003031,FIORELLA,JCK,E & E,PUNNET 250G H40 JCK,-,882,"601,560.00",UN,USD,"24,062.40","24,062.40",30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,1,40 HC,557,,PENDIENTE,NA,10/10/2023,AIRSEALOG,HAPAG,,UASU1002500,18/10/2023,22/10/2023,42,ASLCLS00033635,MAERSK BISCAYNE 340W,27/10/2023,43,NO,NA,IMUPESA,AVM,1012,23/10/2023,24/10/2023,118-2023-10-409263-01-0-00,28/10/2023,29/10/2023,27/10/2023,NA,NA,,,,,,,52,,,2/11/2023,44,,,,,PENDIENTE,4700003031,,
2023-2024,LIQUIDADO,23-022-HPER,4700002787-2,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00124,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,MAERSK,225610265,MSKU1231782,1/3/2023,9/3/2023,10,225610265,MAERSK STEPNICA 316W,23/4/2023,16,NO,NA,IMUPESA,AVM,354,14/4/2023,18/4/2023,118-2023-10-139663-01-2-00,24/4/2023,24/4/2023,23/4/2023,26/4/2023,26/4/2023,,AVM,28/4/2023,T001-175,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,13/5/2023,19,15/5/2023,12/5/2023,EG07-00000062,,"Carga completada. Quedó en CP con Ag. Carga 0, sin booking,forma de pago 0 en cp 20%AP en excel [23-022-HPER // 4700002787-2]//MSKU1231782//]",4700002787-2,,
2023-2024,LIQUIDADO,23-022-HPER,4700002787-2,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00124,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,MAERSK,225610265,MSKU0733641,1/3/2023,9/3/2023,10,225610265,MAERSK STEPNICA 316W,23/4/2023,16,NO,NA,IMUPESA,AVM,354,14/4/2023,18/4/2023,118-2023-10-139663-01-2-00,24/4/2023,24/4/2023,23/4/2023,26/4/2023,26/4/2023,,AVM,28/4/2023,T001-174,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,13/5/2023,19,15/5/2023,12/5/2023,EG07-00000057,,"Carga completada. Quedó en CP con Ag. Carga 0, sin booking,forma de pago 0 en cp 20%AP en excel[23-022-HPER // 4700002787-2]//MSKU0733641//]",4700002787-2,,
2023-2024,LIQUIDADO,23-022-HPER,4700002787-2,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00124,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,,DIRECTO,MAERSK,225610265,MSKU9618103,,9/3/2023,10,225610265,MAERSK STEPNICA 316W,23/4/2023,16,NO,NA,IMUPESA,AVM,354,14/4/2023,18/4/2023,118-2023-10-139663-01-2-00,24/4/2023,24/4/2023,23/4/2023,26/4/2023,26/4/2023,,AVM,28/4/2023,T001-173,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,13/5/2023,19,15/5/2023,12/5/2023,EG07-00000058,,"Carga completada. Quedó en CP con Ag. Carga 0, sin booking,forma de pago 0 en cp 20%AP en excel[23-022-HPER // 4700002787-2]//MSKU9618103]",4700002787-2,,
2023-2024,ENTREGADO,23-023-HFEB,4700003077,FIORELLA,HF IMPORTS,E & E,FILM PUNNET PET 11 OZ,-,4700003077,"403,684.00",UN,USD,"21,863.53","21,863.53",30,EXW,SEA,LCL/LCL,ESTADOS UNIDOS,MIAMI,CALLAO, - , - ,2,,NA,13/10/2023,16/10/2023,FORBIS,SEABOARD,,SMLU7934064,28/10/2023,3/11/2023,44,FBMIA23115519-20,SEABOARD EXPLORER 35,14/11/2023,46,NO,NA,ALFOSAC,AVM,1094,10/11/2023,10/11/2023,118-2023-10-435261-01-1-00 ,,,,NA,NA,,AVM,,,AVM,,52,OLMOS,18/11/2023,20/11/2023,47,,,,,NA,4700003077,,
2023-2024,LIQUIDADO,23-023-HPER,4700002787-3,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00123,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,MAERSK,225610484,MRKU5723433,2/3/2023,9/3/2023,10,225610484,MAERSK STEPNICA 316W,23/4/2023,16,NO,NA,IMUPESA,AVM,353,14/4/2023,18/4/2023,118-2023-10-139647-01-7-00,24/4/2023,24/4/2023,23/4/2023,26/4/2023,26/4/2023,,AVM,28/4/2023,T001-166,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,3/5/2023,18,5/5/2023,2/5/2023,EG07-00000056,,"Carga completada Quedó con Ag. Carga 0,forma de pago 0 en cp 20%AP en excel[23-023-HPER // 4700002787-3]//MRKU5723433]",4700002787-3,,
2023-2024,LIQUIDADO,23-023-HPER,4700002787-3,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00123,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,MAERSK,225610484,MSKU0742089,2/3/2023,9/3/2023,10,225610484,MAERSK STEPNICA 316W,23/4/2023,16,NO,NA,IMUPESA,AVM,353,14/4/2023,18/4/2023,118-2023-10-139647-01-7-00,24/4/2023,24/4/2023,23/4/2023,26/4/2023,26/4/2023,,AVM,28/4/2023,T001-172,GUZMAN,29/4/2023,17,FUNDO ARMONIA,,13/5/2023,19,15/5/2023,12/5/2023,EG07-00000063,,"Carga completada. Quedó en CP con Ag. Carga 0,forma de pago 0 en cp 20%AP en excel [23-023-HPER // 4700002787-3]//MSKU0742089]",4700002787-3,,
2023-2024,ENTREGADO,23-024-HFEB,4700003097,FIORELLA,EDEN,AGQ,DISPER CHLOROPHYL,-,2023 - 1557,"1,500.00",KG,EUR,"40,950.00","45,045.00",60,CIF,SEA,LCL/LCL,ESPAÑA,VALENCIA,CALLAO,,,2,,NA,,,,CMA CGM,1371443,SEKU4327905,29/10/2023,31/10/2023,44,230103827/0302,CMA CGM PREGOLIA,11/12/2023,50,,,ALFOSAC,AVM,1163,1/12/2023,5/12/2023,118-2023-10-467174-01-7-00,,,,NA,NA,,,,,,,52,OLMOS/TRUJILLO,,18/12/2023,51,,,,,NA,4700003097,,
2023-2024,LIQUIDADO,23-024-HPER,4700002787-4,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,,FX23-00153,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,WAN HAI,,WHSU6374046,,16/3/2023,11,062D000466,WAN HAI 622 E011,25/5/2023,21,NO,NA,IMUPESA,AVM,355,12/5/2023,17/5/2023,118-2023-10-182138-01-3-00,26/5/2023,26/5/2023,25/5/2023,30/5/2023,31/5/2023,13/6/2023,AVM,2/6/2023,T001-227,GUZMAN,2/6/2023,22,FUNDO ARMONIA,,8/6/2023,23,9/6/2023,7/6/2023,EG07-00000074,,"Completado, quedo sin booking ,etiquetas[23-024-HPER // 4700002787-4 // WHSU6374046]",4700002787-4,,
2023-2024,LIQUIDADO,23-024-HPER,4700002787-4,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,,FX23-00153,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,WAN HAI,,WHSU5743005,,16/3/2023,11,062D000466,WAN HAI 622 E011,25/5/2023,21,NO,NA,IMUPESA,AVM,355,12/5/2023,17/5/2023,118-2023-10-182138-01-3-00,26/5/2023,26/5/2023,25/5/2023,30/5/2023,31/5/2023,13/6/2023,AVM,2/6/2023,T001-226,GUZMAN,2/6/2023,22,FUNDO ARMONIA,,8/6/2023,23,9/6/2023,7/6/2023,EG07-00000073,,"Completado, quedo sin booking ,etiquetas [23-024-HPER // 4700002787-4 // WHSU5743005]",4700002787-4,,
2023-2024,LIQUIDADO,23-024-HPER,4700002787-4,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,,FX23-00153,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,WAN HAI,,WHSU6812625,,16/3/2023,11,062D000466,WAN HAI 622 E011,25/5/2023,21,NO,NA,IMUPESA,AVM,355,12/5/2023,17/5/2023,118-2023-10-182138-01-3-00,26/5/2023,26/5/2023,25/5/2023,30/5/2023,31/5/2023,13/6/2023,AVM,2/6/2023,T001-228,GUZMAN,2/6/2023,22,FUNDO ARMONIA,,7/6/2023,23,8/6/2023,6/6/2023,EG07-00000069,,"Completado, quedo sin booking ,etiquetas [23-024-HPER // 4700002787-4 //WHSU6812625]",4700002787-4,,
2023-2024,LIQUIDADO,23-024-HPER,4700002787-4,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,,FX23-00153,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,20/2/2023,,-,DIRECTO,WAN HAI,,WHSU5715127,,16/3/2023,11,062D000466,WAN HAI 622 E011,25/5/2023,21,NO,NA,IMUPESA,AVM,355,12/5/2023,17/5/2023,118-2023-10-182138-01-3-00,26/5/2023,26/5/2023,25/5/2023,30/5/2023,31/5/2023,13/6/2023,AVM,2/6/2023,T001-225,GUZMAN,2/6/2023,22,FUNDO ARMONIA,,7/6/2023,23,8/6/2023,6/6/2023,EG07-00000071,,"Completado, quedo sin booking ,etiquetas [23-024-HPER // 4700002787-4 // WHSU5715127]",4700002787-4,,
2023-2024,ENTREGADO,23-025-HFEB,4700003112,FIORELLA,SMARTPACK,SPAREPARTS,RPTOS VARIOS PARA MAQUINA HEAT SEALER,-,164,6.00,UN,USD,"3,289.20","3,289.20",30,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,,NA,14/11/2023,16/11/2023,AIRSEALOG,JETSMART,,,,23/11/2023,47,PELIM23181A,JA0400,23/11/2023,47,NO,NA,ALFOSAC,LIP,18109,22/11/2023,22/11/2023, 235-2023-10-170714-01-0-00,,,,NA,NA,,,,,,,52,,,27/11/2023,48,,,,,NA,4700003112,,
2023-2024,LIQUIDADO,23-025-HPER,4700002787-5,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00154,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,8/3/2023,,-,DIRECTO,ONE,CMBD03234300,DFSU6971162,18/3/2023,23/3/2023,12,ONEYCMBD03234300,CISNES 2317E,26/5/2023,21,NO,NA,IMUPESA,AVM,356,14/5/2023,16/5/2023,118-2023-10-180463-01-4-00,26/5/2023,26/5/2023,26/5/2023,30/5/2023,31/5/2023,1/6/2023,AVM,1/6/2023,T001-221,GUZMAN,1/6/2023,22,FUNDO ARMONIA,,6/6/2023,23,6/6/2023,5/6/2023,EG07-00000067,,"Completado, Quedó en cp  sin Ag. de carga,sin factura,sin booking [22-025-HPER // 4700002787-5//DFSU6971162]",4700002787-5,,
2023-2024,LIQUIDADO,23-025-HPER,4700002787-5,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00154,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,8/3/2023,NA,NA,DIRECTO,ONE,CMBD03234300,DRYU6016516,18/3/2023,23/3/2023,12,ONEYCMBD03234300,CISNES 2317E,26/5/2023,21,NO,NA,IMUPESA,AVM,356,14/5/2023,16/5/2023,118-2023-10-180463-01-4-00,26/5/2023,26/5/2023,26/5/2023,30/5/2023,31/5/2023,1/6/2023,AVM,1/6/2023,T001-222,GUZMAN,1/6/2023,22,FUNDO ARMONIA,,6/6/2023,23,6/6/2023,5/6/2023,EG07-00000066,,"Completado, Quedó en cp  sin Ag. de carga,sin factura,sin booking [22-025-HPER // 4700002787-5//DFSU6971162] [22-025-HPER // 4700002787-5//DRYU6016516]",4700002787-5,,
2023-2024,LIQUIDADO,23-025-HPER,4700002787-5,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00154,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,8/3/2023,NA,NA,DIRECTO,ONE,CMBD03234300,DRYU6068886,18/3/2023,23/3/2023,12,ONEYCMBD03234300,CISNES 2317E,26/5/2023,21,NO,NA,IMUPESA,AVM,356,14/5/2023,16/5/2023,118-2023-10-180463-01-4-00,26/5/2023,26/5/2023,26/5/2023,30/5/2023,31/5/2023,1/6/2023,AVM,1/6/2023,T001-223,GUZMAN,1/6/2023,22,FUNDO ARMONIA,,6/6/2023,23,6/6/2023,5/6/2023,EG07-00000068,,"Completado, Quedó en cp  sin Ag. de carga,sin factura,sin booking [22-025-HPER // 4700002787-5//DFSU6971162] [22-025-HPER // 4700002787-5//DRYU6068886]",4700002787-5,,
2023-2024,LIQUIDADO,23-025-HPER,4700002787-5,TATIANA,PROJAR,SUSTRATOS,EASYPLANTER 25 LT,-,FX23-00154,"7,800.00",UN,USD,"15,132.00","15,132.00",20%AP,CIF,SEA,FCL/FCL,SRI LANKA,COLOMBO,CALLAO,1,40 HC,20,,8/3/2023,NA,NA,DIRECTO,ONE,CMBD03234300,TLLU5666526,18/3/2023,23/3/2023,12,ONEYCMBD03234300,CISNES 2317E,26/5/2023,21,NO,NA,IMUPESA,AVM,356,14/5/2023,16/5/2023,118-2023-10-180463-01-4-00,26/5/2023,26/5/2023,26/5/2023,30/5/2023,31/5/2023,1/6/2023,AVM,1/6/2023,T001-224,GUZMAN,1/6/2023,22,FUNDO ARMONIA,,7/6/2023,23,8/6/2023,6/6/2023,EG07-00000070,,"Completado, Quedó en cp  sin Ag. de carga,sin factura,sin booking [22-025-HPER // 4700002787-5//DFSU6971162][22-025-HPER // 4700002787-5//TLLU5666526]",4700002787-5,,
2023-2024,LIQUIDADO,23-026-HPER,4700002769,GONZALO,GUTTIS,EQP & INST,"MALE NUT CONNECTOR 16;17 X 1/2"" FOR
DRIP TAPE ",-,EI23800047,"12,600.00",UN,USD,"3,816.54","3,816.54",0,CIF,AIR,AIR,ISRAEL,HAIFA,LIMA,-,-,0.5,,NA,,-,-,AIR FRANCE,,-,,4/3/2023,9,057-00121435,,6/3/2023,10,NO,NA,SAASA,LIP,3645,4/3/2023,4/3/2023,235-2023-10-030613-01-0-00,6/3/2023,6/3/2023,7/3/2023,NA,NA,,LIP,8/3/2023,T001-43,AGERSA,8/3/2023,10,FUNDO ARMONIA,,20/3/2023,12,28/3/2023,19/3/2023,EG07-00000045,,NA,4700002769,,
2023-2024,LIQUIDADO,23-026-HPER,4700002781,GONZALO,GUTTIS,EQP & INST,17 x 1/2 BARB MALE ADAPTOR,-,EI23800048,"9,600.00",UN,USD,"2,292.38","2,292.38",0,CIF,AIR,AIR,ISRAEL,HAIFA,LIMA,NA,NA,0.5,,NA,,-,-,AIR FRANCE,,-,,4/3/2023,9,057-00121435,,6/3/2023,10,NO,NA,SAASA,LIP,3645,4/3/2023,4/3/2023,235-2023-10-030613-01-0-00,6/3/2023,6/3/2023,7/3/2023,NA,NA,,LIP,8/3/2023,T001-43,AGERSA,9/3/2023,10,FUNDO ARMONIA,,20/3/2023,12,28/3/2023,19/3/2023,,,NA,4700002781,,
2023-2024,LIQUIDADO,23-027-HPER,4700002778,MELANIE,UNITEC,SPAREPARTS,RPTOS VARIOS PARA MAQUINA CALIBRADORA DE ARANDANOS,-,124,128.00,UN,EUR,"10,587.25","11,645.98",0,EXW,AIR,AIR,CHILE,SANTIAGO,LIMA,-,-,1,,NA,,3/4/2023,AIRSEALOG,KOREAN,,-,9/3/2023,12/3/2023,10,PELIM23042A,,12/3/2023,10,SI,10/3/2023,ALFOSAC,LIP,3928,10/3/2023,10/3/2023,235-2023-10-033869-01-6-00,12/3/2023,12/3/2023,14/3/2023,NA,NA,NA,LIP,14/3/2023, T001-65,AGERSA,15/3/2023,11,PACKING SALAVERRY,,14/3/2023,11,27/3/2023,13/3/2023,EG07-00000044,,NA,4700002778,,
2023-2024,LIQUIDADO,23-028-HPER,"01-2223CPRD08-03-03-0010,0013,15-0005,04-0008",GONZALO,GUTTIS,EQP & INST,MUESTRA,SAMPLE,T62,189.00,UN,USD,"1,058.35","1,058.35",0,DPU,AIR,AIR,ISRAEL,HAIFA,LIMA,NA,NA,1,,NA,,-,DHL,DHL,,-,5/3/2023,6/3/2023,10,8509389954,DHL COURIER,8/3/2023,10,NO,NA,DHL,DHL,NA,NA,6/3/2023,235-2023-28-00237562-10-6-00,8/3/2023,8/3/2023,8/3/2023,NA,NA,,NA,8/3/2023,NA,DHL,9/3/2023,10,PACKING SALAVERRY,,15/3/2023,11,,14/3/2023,,,NA,"01-2223CPRD08-03-03-0010,0013,15-0005,04-0008",,
2023-2024,LIQUIDADO,23-029-HPER,4700002767,MELANIE,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20281,"2,748.00",UN,USD,"16,702.90","16,702.90",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,0.14,17/2/2023,NA,9/3/2023,15/3/2023,AIRSEALOG,AIRMAX,,-,20/3/2023,29/3/2023,13,89AMIA231321 ,,29/3/2023,13,SI,28/3/2023,ALFOSAC,LIP,4762,28/3/2023,28/3/2023,235-2023-10-043038-01-1-00,29/3/2023,29/3/2023,30/3/2023,NA,NA,NA,LIP,8/4/2023, T001-126,AGERSA,9/4/2023,14,,,4/4/2023,14,10/4/2023,3/4/2023,EG07-00000048,,NA,4700002767,,
2023-2024,LIQUIDADO,23-029-HPER,4700002766,GONZALO,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20267,47.00,UN,USD,"11,999.90","11,999.90",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,0.14,,NA,9/3/2023,15/3/2023,AIRSEALOG,AIRMAX,,-,20/3/2023,29/3/2023,13,89AMIA231321 ,,29/3/2023,13,SI,28/3/2023,ALFOSAC,LIP,4762,28/3/2023,28/3/2023,235-2023-10-043038-01-1-00,29/3/2023,29/3/2023,30/3/2023,NA,NA,,LIP,8/4/2023, T001-126,AGERSA,9/4/2023,14,,,4/4/2023,14,10/4/2023,3/4/2023,EG07-00000048,,NA,4700002766,,
2023-2024,LIQUIDADO,23-029-HPER,4700002772,TATIANA,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20297,1.00,UN,USD,250.53,250.53,0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,0.14,,NA,9/3/2023,15/3/2023,AIRSEALOG,AIRMAX,,-,20/3/2023,29/3/2023,13,89AMIA231321 ,,29/3/2023,13,SI,28/3/2023,ALFOSAC,LIP,4762,28/3/2023,28/3/2023,235-2023-10-043038-01-1-00,29/3/2023,29/3/2023,30/3/2023,NA,NA,,LIP,8/4/2023, T001-126,AGERSA,9/4/2023,14,,,4/4/2023,14,10/4/2023,3/4/2023,EG07-00000048,,NA,4700002772,,
2023-2024,LIQUIDADO,23-029-HPER,4700002792,MELANIE,A&B,SPAREPARTS,RPTOS VARIOS PARA MAQUINA PESADORA DE ARANDANOS A&B,-,20296,234.00,UN,USD,"8,564.78","8,564.78",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,0.14,27/2/2023,NA,9/3/2023,15/3/2023,AIRSEALOG,AIRMAX,,-,20/3/2023,29/3/2023,13,89AMIA231321 ,,29/3/2023,13,SI,28/3/2023,ALFOSAC,LIP,4762,28/3/2023,28/3/2023,235-2023-10-043038-01-1-00,29/3/2023,29/3/2023,30/3/2023,NA,NA,,LIP,8/4/2023, T001-126,AGERSA,9/4/2023,14,,,4/4/2023,14,10/4/2023,3/4/2023,EG07-00000048,,NA,4700002792,,
