CAMPAÑA,STATUS,OP,OC,BUYER,SUPPLIER,CATEGORIA,PRODUCTO,PROYECT,FACTURA,QTY,UM,CUR,AMOUNT,AMOUNT USD ,PAYMENT TERM,INCOTERM,MODE,TYPE,COUNTRY ORIGIN,POL,POD,CTNR QTY,CTNR TYPE,BULKS,CARGO READY,CP OPENNING,QUOTE REQUEST DATE,ASSIGMENT DATE,FFW,NAVIERA / AEROLINEA,BOOKING,CNTR NR,PICK UP DATE,ATD,WEEK ATD,B/L- AWB,NAVE,ATA,WEEK ATA,INSURANCE HPER,INSURANCE POLICY DATE,DEPOT,AG. ADUANA,Orden,FECHA IE,FECHA NUM DAM,DAM,FECHA DESCARGA,FECHA TARJA,FECHA LEVANTE,FECHA INSPECCION SENASA,FECHA LIBERACION SENASA,FECHA VCTO SOBRESTADIA,TRANSP LIMA (T1),FECHA RETIRO (T1),GR T1 ,TRANSP TRUX (T2),FECHA ENTREGA BASE T2 (T1),WEEK BASE LIMA,PUNTO DE LLEGADA,FECHA INICIO DE VIAJE  (T2),FECHA FIN DE VIAJE (T2),WEEK TRUX,FECHA CONFIRMACION RECEPCION,GR T2 ,GR HORTIFRUT,WEEK NECESIDAD,CP OBSERVACIONES,OC2,,
2023-2024,LIQUIDADO,23-001-HPER,4700002758,TATIANA,HF GENETICS,PLANTAS,IMPERIAL ,-,7020000051,"31,200.00",UN,USD,"61,776.00","61,776.00",30,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,,NA,,-,DIRECTO,KOREAN,,-,,9/1/2023,2,180-48396191,KE 0274,9/1/2023,2,SI,9/1/2023,SAASA,AVM,106,9/1/2023,10/1/2023,235-2023-10-003045-01-5-00,9/1/2023,9/1/2023,10/1/2023,11/1/2023,11/1/2023,NA,AVM,12/1/2023,001-0120430,AVM,NA,#¡VALOR!,VIVERO ILUSION,12/1/2023,13/1/2023,2,17/1/2023,,,,NA,4700002758,,
2023-2024,ENTREGADO,23-002-HFEB,4700002840-2,FIORELLA,JCK,E & E,PUNNET PET 18OZ 7X7 CESTA,,856,"90,024.00",UN,USD,"8,642.30","8,642.30",30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,0.3,40 HC,242,16/5/2023,NA,NA,16/5/2023,AIRSEALOG,HAPAG,,FANU1220665,5/7/2023,8/7/2023,27,ASLCLS00029251,DUBLIN EXPRESS 325W,13/7/2023,28,NO,NA,IMUPESA,PASOC,81752,7/7/2023,12/7/2023,118-2023-10-261639-01-1-00,14/7/2023,14/7/2023,13/7/2023,NA,NA,24/7/2023,PASOC,20/7/2023,NA,NA,NA,#¡VALOR!,OLMOS,20/7/2023,22/7/2023,29,,,,,[23-002-HFEB/4700002840],4700002840-2,,
2023-2024,ENTREGADO,23-002-HFEB,4700002840-2,FIORELLA,JCK,E & E,PUNNET PET 11OZ 5X7,,856,"311,040.00",UN,USD,"18,662.40","18,662.40",30,EXW,SEA,FCL/FCL,CHILE,SAN ANTONIO,CALLAO,0.7,40 HC,432,16/5/2023,NA,NA,16/5/2023,AIRSEALOG,HAPAG,,FANU1220665,5/7/2023,8/7/2023,27,ASLCLS00029251,DUBLIN EXPRESS 325W,13/7/2023,28,NO,NA,IMUPESA,PASOC,81752,7/7/2023,12/7/2023,118-2023-10-261639-01-1-00,14/7/2023,14/7/2023,13/7/2023,NA,NA,24/7/2023,PASOC,20/7/2023,NA,NA,NA,#¡VALOR!,OLMOS,20/7/2023,22/7/2023,29,,,,,[23-002-HFEB/4700002840],4700002840-2,,
2023-2024,LIQUIDADO,23-002-HPER,4700002765,OMAR,HFCH,PLANTAS,PLANTAS IN VITRO DE ARANDANO,-,13553,440.00,UN,USD,44.00,44.00,0,CFR,AIR,AIR,CHILE,SANTIAGO,LIMA,NA,NA,1,,NA,,-,DIRECTO,LATAM,,-,,10/1/2023,2,045-45009860,,10/1/2023,2,SI,10/1/2023,SAASA,AVM,107,11/1/2023,13/1/2023,235-2023-10-004770-01-5-00  ,10/1/2023,10/1/2023,13/1/2023,18/1/2023,18/1/2023,NA,AVM,19/1/2023,001-0120474,AVM,NA,#¡VALOR!,LABORATORIO GENETICA,24/1/2023,25/1/2023,4,30/1/2023,,,,NA,4700002765,,
2023-2024,ENTREGADO,23-003-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE 4,-,2023-230506,9.00,UN,USD,"99,417.96","99,417.96",90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,9,,NA,NA,NA,DIRECTO,ONE,MEXD12709300 ,TCLU8492332,30/5/2023,7/6/2023,23,S00045406,SEASPAN BELIEF 2320E,15/6/2023,24,NO,NA,IMUPESA,LIP,8847,12/6/2023,23/6/2023,118-23-30-000096-01-0-00,16/6/2023,16/6/2023,28/6/2023,28/6/2023,29/6/2023,22/6/2023,NA,1/7/2023,,LIP,NA,#¡VALOR!,OLMOS,1/7/2023,3/7/2023,27,,,,,NA,NA,,
2023-2024,ENTREGADO,23-003-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE 5,-,2023-230507,6.00,UN,USD,"119,108.28","119,108.28",90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,6,,NA,NA,NA,DIRECTO,ONE,MEXD12709300 ,NYKU4416850,30/5/2023,7/6/2023,23,S00045406,SEASPAN BELIEF 2320E,15/6/2023,24,NO,NA,IMUPESA,LIP,8847,12/6/2023,23/6/2023,118-23-30-000096-01-0-00,16/6/2023,16/6/2023,29/7/2023,NA,NA,22/6/2023,,,,,NA,#¡VALOR!,,,3/7/2023,27,,,,,NA,NA,,
2022-2023,LIQUIDADO,23-003-HPER,4700002641-1,TATIANA,FASTIK,E & E,FILM PUNNET PET 18OZ 7X7 CESTA,-,100938,"880,000.00",UN,USD,"65,375.20","65,375.20",0,EXW,AIR,AIR,USA,MIAMI,LIMA,-,-,5,,NA,,10/1/2023,AIRSEALOG,NORTHERN,,-,13/1/2023,29/1/2023,4,99AMIA23325,,29/1/2023,4,SI,26/1/2023,SHOHIN,PASOC,67369,26/1/2023,27/1/2023, 235-2023-10-011894-01-8-00,29/1/2023,30/1/2023,29/1/2023,NA,NA,NA,PASOC,31/1/2023, 001-0392335,AGERSA,NA,#¡VALOR!,PACKING SALAVERRY,9/2/2023,10/2/2023,6,13/2/2023,EG03-00000001,EG07-00000034,,NA,4700002641-1,,
2023-2024,ENTREGADO,23-004-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE 1,-,2023-230503,9.00,UN,USD,"117,075.27","117,075.27",90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,9,,NA,NA,NA,DIRECTO,COSCO,6357644420,CSNU6114021,29/5/2023,15/6/2023,24,S00045421,CSCL WINTER 047E,24/6/2023,25,NO,NA,IMUPESA,LIP,9328,21/6/2023,28/6/2023,118-23-30-000104-01-0-00,24/6/2023,25/6/2023,5/7/2023,5/7/2023,5/7/2023,8/7/2023,NA,6/7/2023,NA,,NA,#¡VALOR!,OLMOS,6/7/2023,8/7/2023,27,,,,,NA,NA,,
2023-2024,ENTREGADO,23-004-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE 2,-,2023-230504,10.00,UN,USD,"111,504.12","111,504.12",90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,10,,NA,NA,NA,DIRECTO,COSCO,6357644420,CSLU6249539,29/5/2023,15/6/2023,24,S00045421,CSCL WINTER 047E,24/6/2023,25,NO,NA,IMUPESA,LIP,9328,21/6/2023,28/6/2023,118-23-30-000104-01-0-00,24/6/2023,25/6/2023,5/7/2023,5/7/2023,5/7/2023,8/7/2023,NA,6/7/2023,NA,,NA,#¡VALOR!,OLMOS,6/7/2023,8/7/2023,27,,,,,NA,NA,,
2023-2024,ENTREGADO,23-004-HFEB,NA,CORPORATIVO,HFMX,MAQUINARIAS,LINEA DE EMPAQUE 3,-,2023-230505,6.00,UN,USD,"121,997.55","121,997.55",90,CIF,SEA,FCL/FCL,MEXICO,MANZANILLO,CALLAO,1,40 HC,6,,NA,NA,NA,DIRECTO,COSCO,6357644420,CSNU6973238,29/5/2023,15/6/2023,24,S00045421,CSCL WINTER 047E,24/6/2023,25,NO,NA,IMUPESA,LIP,9328,21/6/2023,28/6/2023,118-23-30-000104-01-0-00,24/6/2023,25/6/2023,5/7/2023,5/7/2023,5/7/2023,8/7/2023,NA,6/7/2023,NA,,NA,#¡VALOR!,OLMOS,6/7/2023,8/7/2023,27,,,,,NA,NA,,
